ἆ I
αʹ M
Ααλαφ Np
Ααρα Np
Ἀαρών Np
Ἀαρωνίδης Np
Ἀβαδδών Np
Αβαδια Np
Αβαδιας Np
Αβαδων Np
Αβαιαν Np
Αβαισαν Np
αβακ N
Αβαλ Np
Αβαμα Np
Αβανα Np
Αβαρ Np
Αβαραν Np
Αβαριμ Np
Αβαριν Np
αβαρκηνιν N
ἀβασίλευτος A
Αβαταζα Np
ἄβατος A
ἀβατόω V
Ἀββᾶ Np
Αβδεδομ Np
Αβδεμελεχ Np
Αβδεναγω Np
Αβδησελμα Np
Αβδι Np
Αβδια Np
Αβδιας Np
Αβδιηλ Np
Αβδιου Np
Αβδων Np
Αβεδ Np
Αβεδδαρα Np
Αβεδδαραμ Np
αβεδηριν N
Ἄβελ Np
Αβελβαιθαμααχα Np
Αβελμαα Np
Αβελμαιν Np
Αβελμαουλα Np
Αβελμεουλα Np
Αβενεζερ Np
Αβεννεζερ Np
Αβεννερ Np
Αβεννηρ Np
Αβερ Np
Αβεσσα Np
Αβεσσαλωμ Np
Αβι Np
Ἀβιά Np
Ἀβιάθαρ Np
Αβιασαφ Np
Αβιγαια Np
Αβιγαιαν Np
Αβιγαιας Np
Αβιδα Np
Αβιδαν Np
Αβιεζεκ Np
Αβιεζερ Np
Αβιεζρι Np
Αβιεσδρι Np
Αβιηλ Np
Ἀβιληνή Np
Αβιμεηλ Np
Αβιμελεχ Np
Αβινεεμ Np
Αβιου Np
Ἀβιούδ Np
Αβιρα Np
αβιρα N
Αβιρων Np
Αβισακ Np
Αβισου Np
Αβισουε Np
Αβισουρ Np
Αβιταλ Np
Αβιτωβ Np
Αβιχαιλ Np
ἀβλαβής A
ἀβοηθησία N
ἀβοήθητος A
Αβου Np
Ἀβούβος Np
ἀβουλεύτως D
ἀβουλέω V
ἀβουλία N
ἅβρα N A
Ἀβραάμ Np
Ἀβρααμίτις Np
Αβραμ Np
Αβραμιαῖος A
ἀβροχία N
Αβρωνα Np
ἄβρωτος A
ἄβυσσος N
Αβωμεουλα Np
Αβωρ Np
Αγαβ Np
Αγαβα Np
Ἄγαβος Np
Αγαγ Np
ἀγαθοεργέω V
ἀγαθοποιέω V
ἀγαθοποιΐα N
ἀγαθοποιός A
ἀγαθός A
ἀγαθότης N
ἀγαθουργέω V
ἀγαθόω V
ἀγαθύνω V
ἀγαθῶς D
ἀγαθωσύνη N
ἀγαλλίαμα N
ἀγαλλίασις N
ἀγαλλιάω V
Αγαλλιμ Np
ἄγαλμα N
ἄγαμος A
ἄγαν D
ἀγανακτέω V
ἀγανάκτησις N
ἀγαπάω V
ἀγαπέω V
ἀγάπη N
ἀγάπησις N
ἀγαπητός A
Ἄγαρ Np
Αγαραῖος Np
Αγαρηνός Np
Αγαρι Np
Αγαρίτης Np
Αγαρμι Np
ἀγαυρίαμα N
ἀγαυριάω V
Αγγαβα Np
Αγγαι Np
Αγγαιας Np
Ἁγγαῖος Np
Αγγαιου Np
ἀγγαρεύω V
ἀγγεῖον N
ἀγγελία N
ἀγγέλλω V
ἄγγελος N
Αγγι Np
Αγγια Np
Αγγιθ Np
Αγγις Np
ἄγγος N
ἄγε V
Αγεαδδαϊρ Np
ἀγελαῖος A
ἀγέλη N
ἀγεληδόν D
ἀγερωχία N
ἀγέρωχος A
Αγια Np
ἁγιάζω V
ἁγίασμα N
ἁγιασμός N
ἁγιαστήριον N
ἁγιαστία N
Αγιν Np
ἅγιος A N
ἁγιότης N
ἁγιωσύνη N A
ἀγκάλη N
ἀγκαλίς N
ἄγκιστρον N
ἀγκύλη N
ἀγκών N
ἀγκωνίσκος N
Αγλα Np
Αγλαθ-σαλισια Np
Αγλων Np
ἁγνεία N
ἁγνίζω V
ἅγνισμα N
ἁγνισμός N
ἀγνοέω V
ἀγνόημα N
ἄγνοια N
ἁγνός A
ἄγνος N
ἀγνωσία N
ἄγνωστος A
ἄγονος A N
ἀγορά N
ἀγοράζω V
ἀγορανομία N
ἀγορασμός N
ἀγοραστής N
ἀγρεύω V
ἀγριάνω V
ἀγριομυρίκη N
ἄγριος A
ἀγριότης N
ἀγριόω V
Ἀγρίππας Np
ἀγρίως D
ἄγροικος A
ἀγρός N
ἀγρυπνέω V
ἀγρυπνία N
ἄγρωστις N
ἀγυιά N
ἄγχῐ D
Αγχις Np
ἀγχιστεία N
ἀγχιστεύς N
ἀγχιστευτής N
ἀγχιστεύω V
ἄγχιστος D
Αγχους Np
ἄγχω V
Αγχωχ Np
ἄγω V
ἀγωγή N
ἀγών N
ἀγωνία N
ἀγωνιάω V
ἀγωνίζομαι V
ἀγωνιστής N
Αδα Np
Αδαδ Np
Αδαδα Np
Αδαι Np
Αδαια Np
Αδαιας Np
Ἀδάμ Np
Αδαμα Np
ἀδαμάντινος A
ἀδάμας N
ἀδάμαστος A
Αδαμι Np
Αδαν Np
Αδαρ Np
Αδαρι Np
Αδασα Np
Αδασαι Np
Αδασαν Np
Αδδαι Np
Αδδαιον Np
Αδδαιω Np
Αδδαμιν Np
Αδδαρα Np
Ἀδδί Np
Αδδους Np
Αδδω Np
ἄδεια N
ἄδειπνος A
ἀδελφή N
ἀδελφιδός N
ἀδελφικῶς D
ἀδελφοκτόνος A
ἀδελφοπρεπῶς D
ἀδελφός N
ἀδελφότης N A
Αδενικαμ Np
Αδερ Np
ἀδεῶς D
ἄδηλος A
ᾅδης N
Αδι Np
Αδια Np
Αδιαθαϊμ Np
ἀδιάκριτος A
ἀδιαλείπτως D
ἀδιάλυτος A
ἀδιάπτωτος A
ἀδιάστροφος A
ἀδιάτρεπτος A
Αδιδ Np
Αδιδα Np
ἀδιεξέταστος A
Αδιηλ Np
ἀδικέω V
ἀδίκημα N
ἀδικία N
ἄδικος A
ἀδίκως D
Αδίν Np
Αδινα Np
Αδινων Np
Αδλι Np
Ἀδμίν Np
Αδνας Np
ἀδόκητος A
ἀδόκιμος A
ἀδολεσχέω V
ἀδολέσχης N
ἀδολεσχία N
ἀδόλως D
ἀδοξέω V
ἀδοξία N
ἄδοξος A
Ἀδουηλ Np
Αδρααζαρ Np
Αδραζαρ Np
Αδραμελεχ Np
Ἀδραμυττηνός Np
ἀδρανής A
Ἀδρίας Np
ἁδρός A
ἁδρύνω V
ἀδυναμέω V
ἀδυναμία N
ἀδυνατέω V
ἀδύνατος A
ἀδυνάω V
ᾄδω V
αδων N
Ἀδωναί Np
Ἀδωναϊέ Np
Αδωνια Np
Αδωνίας Np
Αδωνιβεζεκ Np
Αδωνικαμ Np
Αδωνιραμ Np
Αδωρα Np
Αδωραιμ Np
αδωρηεμ N
ἀεί D
Αεμε Np
ἀέναος A
